,Country Name
0,Afghanistan
1,Albania
2,Algeria
3,American Samoa
4,Andorra
5,Angola
6,Antigua and Barbuda
7,Argentina
8,Armenia
9,Aruba
10,Australia
11,Austria
12,Azerbaijan
13,"Bahamas, The"
14,Bahrain
15,Bangladesh
16,Barbados
17,Belarus
18,Belgium
19,Belize
20,Benin
21,Bermuda
22,Bhutan
23,Bolivia
24,Bosnia and Herzegovina
25,Botswana
26,Brazil
27,British Virgin Islands
28,Brunei Darussalam
29,Bulgaria
30,Burkina Faso
31,Burundi
32,Cabo Verde
33,Cambodia
34,Cameroon
35,Canada
36,Cayman Islands
37,Central African Republic
38,Chad
39,Channel Islands
40,Chile
41,China
42,Colombia
43,Comoros
44,"Congo, Dem. Rep."
45,"Congo, Rep."
46,Costa Rica
47,Cote d'Ivoire
48,Croatia
49,Cuba
50,Curacao
51,Cyprus
52,Czechia
53,Denmark
54,Djibouti
55,Dominica
56,Dominican Republic
57,Ecuador
58,"Egypt, Arab Rep."
59,El Salvador
60,Equatorial Guinea
61,Eritrea
62,Estonia
63,Eswatini
64,Ethiopia
65,Faroe Islands
66,Fiji
67,Finland
68,France
69,French Polynesia
70,Gabon
71,"Gambia, The"
72,Georgia
73,Germany
74,Ghana
75,Gibraltar
76,Greece
77,Greenland
78,Grenada
79,Guam
80,Guatemala
81,Guinea
82,Guinea-Bissau
83,Guyana
84,Haiti
85,Honduras
86,"Hong Kong SAR, China"
87,Hungary
88,Iceland
89,India
90,Indonesia
91,"Iran, Islamic Rep."
92,Iraq
93,Ireland
94,Isle of Man
95,Israel
96,Italy
97,Jamaica
98,Japan
99,Jordan
100,Kazakhstan
101,Kenya
102,Kiribati
103,"Korea, Dem. People's Rep."
104,"Korea, Rep."
105,Kosovo
106,Kuwait
107,Kyrgyz Republic
108,Lao PDR
109,Latvia
110,Lebanon
111,Lesotho
112,Liberia
113,Libya
114,Liechtenstein
115,Lithuania
116,Luxembourg
117,"Macao SAR, China"
118,Madagascar
119,Malawi
120,Malaysia
121,Maldives
122,Mali
123,Malta
124,Marshall Islands
125,Mauritania
126,Mauritius
127,Mexico
128,"Micronesia, Fed. Sts."
129,Moldova
130,Monaco
131,Mongolia
132,Montenegro
133,Morocco
134,Mozambique
135,Myanmar
136,Namibia
137,Nauru
138,Nepal
139,Netherlands
140,New Caledonia
141,New Zealand
142,Nicaragua
143,Niger
144,Nigeria
145,North Macedonia
146,Northern Mariana Islands
147,Norway
148,Oman
149,Pakistan
150,Palau
151,Panama
152,Papua New Guinea
153,Paraguay
154,Peru
155,Philippines
156,Poland
157,Portugal
158,Puerto Rico
159,Qatar
160,Romania
161,Russian Federation
162,Rwanda
163,Samoa
164,San Marino
165,Sao Tome and Principe
166,Saudi Arabia
167,Senegal
168,Serbia
169,Seychelles
170,Sierra Leone
171,Singapore
172,Sint Maarten (Dutch part)
173,Slovak Republic
174,Slovenia
175,Solomon Islands
176,Somalia
177,South Africa
178,South Sudan
179,Spain
180,Sri Lanka
181,St. Kitts and Nevis
182,St. Lucia
183,St. Martin (French part)
184,St. Vincent and the Grenadines
185,Sudan
186,Suriname
187,Sweden
188,Switzerland
189,Syrian Arab Republic
190,Tajikistan
191,Tanzania
192,Thailand
193,Timor-Leste
194,Togo
195,Tonga
196,Trinidad and Tobago
197,Tunisia
198,Turkiye
199,Turkmenistan
200,Turks and Caicos Islands
201,Tuvalu
202,Uganda
203,Ukraine
204,United Arab Emirates
205,United Kingdom
206,United States
207,Uruguay
208,Uzbekistan
209,Vanuatu
210,"Venezuela, RB"
211,Viet Nam
212,Virgin Islands (U.S.)
213,West Bank and Gaza
214,"Yemen, Rep."
215,Zambia
216,Zimbabwe
